accident_id,date,time,state,city,road_type,weather,light_condition,speed_limit_kmph,avg_speed_est_kmph,vehicles_involved,casualties_total,fatalities,serious_injuries,minor_injuries,alcohol_involved,hit_and_run,damage_cost_inr
ACC2020051000000,2020-05-10,10:42,West Bengal,Kolkata,Urban Road,Clear,Daylight,40,21.5,2,0,0,0,0,0.0,1.0,29578.4
ACC2023081000001,2023-08-10,10:46,Gujarat,Vadodara,Urban Road,Clear,Dawn/Dusk,50,48.8,1,1,0,0,1,0.0,0.0,68289.65
ACC2023051000002,2023-05-10,17:39,Karnataka,Mysuru,Urban Road,Clear,Daylight,50,,2,2,0,0,2,0.0,0.0,22122.37
ACC2025011200003,2025-01-12,21:00,Karnataka,Bengaluru,National Highway,Clear,Night (unlit),90,95.5,1,1,0,0,1,0.0,0.0,64685.26
ACC2020081800004,2020-08-18,10:36,Chhattisgarh,Raipur,Expressway,Fog,Daylight,100,78.9,1,3,0,1,2,0.0,0.0,55014.18
ACC2022051700005,2022-05-17,08:52,Bihar,Patna,Rural Road,Rain,Daylight,70,80.3,1,3,1,0,2,0.0,0.0,63238.57
ACC2022062000006,2022-06-20,21:40,Uttarakhand,Dehradun,Urban Road,Clear,Night (lit),50,54.8,2,4,0,2,2,0.0,1.0,109712.33
ACC2018102100007,2018-10-21,08:51,Tamil Nadu,Tiruchirappalli,Expressway,Clear,Daylight,110,,2,4,0,0,4,0.0,0.0,21679.5
ACC2022062300008,2022-06-23,10:59,Andhra Pradesh,Guntur,National Highway,Storm,Daylight,80,86.4,1,9,0,5,4,0.0,0.0,68687.52
ACC2018061000009,2018-06-10,03:32,Chandigarh,Chandigarh,Urban Road,Clear,Night (lit),50,36.4,1,2,0,1,1,0.0,0.0,90509.64
ACC2020032600010,2020-03-26,20:03,Tamil Nadu,Coimbatore,National Highway,Rain,,100,87.8,3,3,0,3,0,0.0,0.0,103049.74
ACC2018060400011,2018-06-04,09:01,Karnataka,Mangaluru,State Highway,Fog,Daylight,80,46.1,1,0,0,0,0,0.0,1.0,50382.64
ACC2021031200012,2021-03-12,01:01,Chhattisgarh,Raipur,Urban Road,Rain,Night (lit),40,33.0,1,2,0,1,1,0.0,0.0,63367.89
ACC2025052700013,2025-05-27,08:49,Karnataka,Mangaluru,Urban Road,Clear,Daylight,50,37.9,4,1,0,1,0,0.0,0.0,53453.01
ACC2024041300014,2024-04-13,10:11,Andhra Pradesh,Visakhapatnam,Urban Road,Clear,Daylight,50,51.3,1,3,0,0,3,1.0,0.0,63556.82
ACC2020061400015,2020-06-14,21:26,Uttarakhand,Haridwar,Rural Road,Rain,Night (lit),50,49.3,2,2,0,0,2,0.0,0.0,63704.61
ACC2018042500016,2018-04-25,08:06,West Bengal,Kolkata,National Highway,Rain,Daylight,100,104.6,1,7,0,2,5,0.0,0.0,81822.19
ACC2021092700017,2021-09-27,08:58,Punjab,Jalandhar,National Highway,Clear,Dawn/Dusk,100,97.1,1,3,0,1,2,0.0,0.0,39940.81
ACC2019092600018,2019-09-26,08:34,Chandigarh,Chandigarh,Rural Road,,Daylight,50,50.5,1,2,0,0,2,0.0,,103344.85
ACC2021030100019,2021-03-01,03:05,Puducherry,Puducherry,Urban Road,Clear,Night (lit),50,37.9,1,2,1,1,0,0.0,0.0,24622.07
ACC2020071700020,2020-07-17,19:52,Delhi,New Delhi,Expressway,Clear,Night (unlit),100,91.3,1,4,0,1,3,0.0,0.0,90363.58
ACC2019103000021,2019-10-30,08:07,Chhattisgarh,Bilaspur,National Highway,,Daylight,80,60.5,1,0,0,0,0,0.0,0.0,14235.71
ACC2019121000022,2019-12-10,14:24,Gujarat,Surat,Urban Road,Haze,Daylight,40,35.5,2,3,1,1,1,0.0,0.0,55184.71
ACC2023030900023,2023-03-09,02:52,Chandigarh,Chandigarh,Urban Road,Rain,Night (unlit),50,38.3,1,0,0,0,0,0.0,0.0,23052.44
ACC2018092500024,2018-09-25,18:53,Jharkhand,Ranchi,Expressway,Clear,Night (unlit),110,47.3,2,1,0,0,1,0.0,0.0,27722.3
ACC2021092000025,2021-09-20,21:29,Gujarat,Rajkot,Urban Road,Fog,Night (unlit),40,35.9,1,0,0,0,0,0.0,0.0,63416.78
ACC2023042000026,2023-04-20,08:02,Karnataka,Mangaluru,Rural Road,Clear,Dawn/Dusk,60,,1,2,0,1,1,0.0,0.0,28843.94
ACC2020121500027,2020-12-15,09:42,Odisha,Cuttack,Rural Road,Clear,Daylight,70,,1,1,0,1,0,0.0,0.0,
ACC2022111000028,2022-11-10,12:17,Telangana,Warangal,Urban Road,Clear,Daylight,50,43.3,1,2,0,2,0,0.0,0.0,42144.86
ACC2025082700029,2025-08-27,20:41,Kerala,Kozhikode,State Highway,Clear,Night (lit),80,51.9,1,1,0,0,1,0.0,0.0,56549.33
